Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:14,03-05-2026 16:42:18,3.843s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:42:18,03-05-2026 16:42:18,0.033s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:42:18,03-05-2026 16:42:19,0.791s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:42:19,03-05-2026 16:42:20,0.715s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:20,03-05-2026 16:42:21,1.642s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:21,03-05-2026 16:42:23,2.008s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:23,03-05-2026 16:42:24,0.500s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:24,03-05-2026 16:42:26,2.019s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:26,03-05-2026 16:42:26,0.416s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:26,03-05-2026 16:42:27,1.007s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:27,03-05-2026 16:42:27,0.299s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:27,03-05-2026 16:42:30,2.015s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_alamat_pengiriman""), ""Jl. Merdeka No.1 Jakarta"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:30,03-05-2026 16:42:30,0.700s,PASSED
